date|state|state_name|deaths|deaths_inc|cases|cases_inc
2020-03-06|AK|Alaska|0.0|0||0
2020-03-07|AK|Alaska|0.0|0||0
2020-03-08|AK|Alaska|0.0|0||0
2020-03-09|AK|Alaska|0.0|0||0
2020-03-10|AK|Alaska|0.0|0||0
2020-03-11|AK|Alaska|0.0|0||0
2020-03-12|AK|Alaska|0.0|0||0
2020-03-13|AK|Alaska|0.0|0||0
2020-03-14|AK|Alaska|0.0|0||0
2020-03-15|AK|Alaska|0.0|0||0
2020-03-16|AK|Alaska|0.0|0||0
2020-03-17|AK|Alaska|0.0|0|3.0|3
2020-03-18|AK|Alaska|0.0|0|8.0|5
2020-03-19|AK|Alaska|0.0|0|11.0|3
2020-03-20|AK|Alaska|0.0|0|14.0|3
2020-03-21|AK|Alaska|0.0|0|15.0|1
2020-03-22|AK|Alaska|0.0|0|25.0|10
2020-03-23|AK|Alaska|0.0|0|38.0|13
2020-03-24|AK|Alaska|0.0|0|42.0|4
2020-03-25|AK|Alaska|1.0|1|49.0|7
2020-03-26|AK|Alaska|1.0|0|63.0|14
2020-03-27|AK|Alaska|1.0|0|74.0|11
2020-03-28|AK|Alaska|2.0|1|91.0|17
2020-03-29|AK|Alaska|2.0|0|110.0|19
2020-03-30|AK|Alaska|3.0|1|118.0|8
2020-03-31|AK|Alaska|3.0|0|128.0|10
2020-04-01|AK|Alaska|3.0|0|141.0|13
2020-04-02|AK|Alaska|3.0|0|149.0|8
2020-04-03|AK|Alaska|3.0|0|160.0|11
2020-04-04|AK|Alaska|5.0|2|171.0|11
2020-04-05|AK|Alaska|6.0|1|185.0|14
2020-04-06|AK|Alaska|6.0|0|191.0|6
2020-04-07|AK|Alaska|6.0|0|213.0|22
2020-04-08|AK|Alaska|7.0|1|226.0|13
2020-04-09|AK|Alaska|7.0|0|235.0|9
2020-04-10|AK|Alaska|7.0|0|246.0|11
2020-04-11|AK|Alaska|8.0|1|257.0|11
2020-04-12|AK|Alaska|8.0|0|272.0|15
2020-04-13|AK|Alaska|8.0|0|277.0|5
2020-04-14|AK|Alaska|9.0|1|285.0|8
2020-04-15|AK|Alaska|9.0|0|293.0|8
2020-04-16|AK|Alaska|9.0|0|300.0|7
2020-04-17|AK|Alaska|9.0|0|309.0|9
2020-04-18|AK|Alaska|9.0|0|314.0|5
2020-04-19|AK|Alaska|9.0|0|319.0|5
2020-04-20|AK|Alaska|9.0|0|321.0|2
2020-04-21|AK|Alaska|9.0|0|329.0|8
2020-04-22|AK|Alaska|9.0|0|335.0|6
2020-04-23|AK|Alaska|9.0|0|337.0|2
2020-04-24|AK|Alaska|9.0|0|339.0|2
2020-04-25|AK|Alaska|9.0|0|339.0|0
2020-04-26|AK|Alaska|9.0|0|341.0|2
2020-04-27|AK|Alaska|9.0|0|345.0|4
2020-04-28|AK|Alaska|9.0|0|351.0|6
2020-04-29|AK|Alaska|9.0|0|355.0|4
2020-04-30|AK|Alaska|9.0|0|355.0|0
2020-05-01|AK|Alaska|9.0|0|364.0|9
2020-05-02|AK|Alaska|9.0|0|365.0|1
2020-05-03|AK|Alaska|9.0|0|368.0|3
2020-05-04|AK|Alaska|9.0|0|370.0|2
2020-05-05|AK|Alaska|9.0|0|371.0|1
2020-05-06|AK|Alaska|10.0|1|372.0|1
2020-05-07|AK|Alaska|10.0|0|374.0|2
2020-05-08|AK|Alaska|10.0|0|377.0|3
2020-05-09|AK|Alaska|10.0|0|378.0|1
2020-05-10|AK|Alaska|10.0|0|379.0|1
2020-05-11|AK|Alaska|10.0|0|381.0|2
2020-05-12|AK|Alaska|10.0|0|383.0|2
2020-05-13|AK|Alaska|10.0|0|384.0|1
