location|province
Afghanistan|nan
Albania|nan
Algeria|nan
Andorra|nan
Angola|nan
Antigua and Barbuda|nan
Argentina|nan
Armenia|nan
Aruba|nan
Australia|Australian Capital Territory
Australia|External territories
Australia|From Diamond Princess
Australia|Jervis Bay Territory
Australia|New South Wales
Australia|Northern Territory
Australia|Queensland
Australia|South Australia
Australia|Tasmania
Australia|Victoria
Australia|Western Australia
Australia|nan
Austria|None
Austria|nan
Azerbaijan|nan
Bahamas|nan
Bahrain|nan
Bangladesh|nan
Barbados|nan
Belarus|nan
Belgium|Antwerp
Belgium|Brussels
Belgium|East Flanders
Belgium|Flemish Brabant
Belgium|Hainaut
Belgium|Liege
Belgium|Limburg
Belgium|Luxembourg
Belgium|Namur
Belgium|Unknown
Belgium|Walloon Brabant
Belgium|West Flanders
Belgium|nan
Belize|nan
Benin|nan
Bhutan|nan
Bolivia|nan
Bosnia and Herzegovina|nan
Botswana|nan
Brazil|Acre
Brazil|Alagoas
Brazil|Amapa
Brazil|Amazonas
Brazil|Bahia
Brazil|Ceara
Brazil|Distrito Federal
Brazil|Espirito Santo
Brazil|Goias
Brazil|Maranhao
Brazil|Mato Grosso
Brazil|Mato Grosso do Sul
Brazil|Minas Gerais
Brazil|Para
Brazil|Paraiba
Brazil|Parana
Brazil|Pernambuco
Brazil|Piaui
Brazil|Rio Grande do Norte
Brazil|Rio Grande do Sul
Brazil|Rio de Janeiro
Brazil|Rondonia
Brazil|Roraima
Brazil|Santa Catarina
Brazil|Sao Paulo
Brazil|Sergipe
Brazil|Tocantins
Brazil|Unknown
Brazil|nan
Brunei|nan
Bulgaria|nan
Burkina Faso|nan
Burma|nan
Burundi|nan
Cabo Verde|nan
Cambodia|nan
Cameroon|nan
Canada| Montreal, QC
Canada|Alberta
Canada|British Columbia
Canada|Calgary, Alberta
Canada|Diamond Princess
Canada|Edmonton, Alberta
Canada|Grand Princess
Canada|London, ON
Canada|Manitoba
Canada|New Brunswick
Canada|Newfoundland and Labrador
Canada|Northwest Territories
Canada|Nova Scotia
Canada|Nunavut
Canada|Ontario
Canada|Prince Edward Island
Canada|Quebec
Canada|Recovered
Canada|Repatriated Travellers
Canada|Saskatchewan
Canada|Toronto, ON
Canada|Yukon
Cape Verde|nan
Cayman Islands|nan
Central African Republic|nan
Chad|nan
Channel Islands|nan
Chile|Antofagasta
Chile|Araucania
Chile|Arica y Parinacota
Chile|Atacama
Chile|Aysen
Chile|Biobio
Chile|Coquimbo
Chile|Los Lagos
Chile|Los Rios
Chile|Magallanes
Chile|Maule
Chile|Metropolitana
Chile|Nuble
Chile|OHiggins
Chile|Tarapaca
Chile|Unknown
Chile|Valparaiso
Chile|nan
China|Anhui
China|Beijing
China|Chongqing
China|Fujian
China|Gansu
China|Guangdong
China|Guangxi
China|Guizhou
China|Hainan
China|Hebei
China|Heilongjiang
China|Henan
China|Hong Kong
China|Hubei
China|Hunan
China|Inner Mongolia
China|Jiangsu
China|Jiangxi
China|Jilin
China|Liaoning
China|Macau
China|Ningxia
China|Qinghai
China|Shaanxi
China|Shandong
China|Shanghai
China|Shanxi
China|Sichuan
China|Tianjin
China|Tibet
China|Xinjiang
China|Yunnan
China|Zhejiang
Colombia|Amazonas
Colombia|Antioquia
Colombia|Arauca
Colombia|Atlantico
Colombia|Bolivar
Colombia|Boyaca
Colombia|Caldas
Colombia|Capital District
Colombia|Caqueta
Colombia|Casanare
Colombia|Cauca
Colombia|Cesar
Colombia|Choco
Colombia|Cordoba
Colombia|Cundinamarca
Colombia|Guainia
Colombia|Guaviare
Colombia|Huila
Colombia|La Guajira
Colombia|Magdalena
Colombia|Meta
Colombia|Narino
Colombia|Norte de Santander
Colombia|Putumayo
Colombia|Quindio
Colombia|Risaralda
Colombia|San Andres y Providencia
Colombia|Santander
Colombia|Sucre
Colombia|Tolima
Colombia|Unknown
Colombia|Valle del Cauca
Colombia|Vaupes
Colombia|Vichada
Colombia|nan
Comoros|nan
Congo (Brazzaville)|nan
Congo (Kinshasa)|nan
Costa Rica|nan
Cote d'Ivoire|nan
Croatia|nan
Cruise Ship|Diamond Princess
Cuba|nan
Curacao|nan
Cyprus|nan
Czech Republic|nan
Czechia|nan
Denmark|Denmark
Denmark|Faroe Islands
Denmark|Greenland
Denmark|nan
Diamond Princess|nan
Djibouti|nan
Dominica|nan
Dominican Republic|nan
East Timor|nan
Ecuador|nan
Egypt|nan
El Salvador|nan
Equatorial Guinea|nan
Eritrea|nan
Estonia|nan
Eswatini|nan
Ethiopia|nan
Faroe Islands|nan
Fiji|nan
Finland|nan
France|Fench Guiana
France|France
France|French Guiana
France|French Polynesia
France|Guadeloupe
France|Martinique
France|Mayotte
France|New Caledonia
France|Reunion
France|Saint Barthelemy
