location|province|last_upd|cases|cases_inc|deaths|deaths_inc|src_file
Russia|Moscow|2020-06-02|183088.0|0|2553.0|0|06-01-2020.csv
Russia|Moscow|2020-06-03|185374.0|0|2624.0|0|06-02-2020.csv
Russia|Moscow|2020-06-04|187216.0|0|2685.0|0|06-03-2020.csv
Russia|Moscow|2020-06-05|189214.0|0|2749.0|0|06-04-2020.csv
Russia|Moscow|2020-06-06|191069.0|0|2806.0|0|06-05-2020.csv
Russia|Moscow|2020-06-07|193061.0|0|2864.0|0|06-06-2020.csv
Russia|Moscow|2020-06-08|195017.0|0|2919.0|0|06-07-2020.csv
Russia|Moscow|2020-06-09|197018.0|0|2970.0|0|06-08-2020.csv
Russia|Moscow|2020-06-10|198590.0|0|3029.0|0|06-09-2020.csv
Russia|Moscow|2020-06-11|199785.0|0|3085.0|0|06-10-2020.csv
Russia|Moscow|2020-06-12|201221.0|0|3138.0|0|06-11-2020.csv
Russia|Moscow|2020-06-13|202935.0|0|3187.0|0|06-12-2020.csv
Russia|Moscow|2020-06-14|204428.0|0|3231.0|0|06-13-2020.csv
Russia|Moscow|2020-06-15|205905.0|0|3281.0|0|06-14-2020.csv
Russia|Moscow|2020-06-16|207264.0|0|3334.0|0|06-15-2020.csv
Russia|Moscow|2020-06-17|208680.0|0|3386.0|0|06-16-2020.csv
Russia|Moscow|2020-06-18|209745.0|0|3434.0|0|06-17-2020.csv
Russia|Moscow|2020-06-19|210785.0|0|3483.0|0|06-18-2020.csv
Russia|Moscow|2020-06-20|211921.0|0|3531.0|0|06-19-2020.csv
Russia|Moscow|2020-06-21|212978.0|0|3565.0|0|06-20-2020.csv
Russia|Moscow|2020-06-22|213946.0|0|3597.0|0|06-21-2020.csv
Russia|Moscow|2020-06-23|215014.0|0|3617.0|0|06-22-2020.csv
Russia|Moscow|2020-06-24|216095.0|0|3643.0|0|06-23-2020.csv
Russia|Moscow|2020-06-25|216906.0|0|3657.0|0|06-24-2020.csv
Russia|Moscow|2020-06-26|217791.0|0|3669.0|0|06-25-2020.csv
Russia|Moscow|2020-06-27|218604.0|0|3694.0|0|06-26-2020.csv
Russia|Moscow|2020-06-28|219354.0|0|3714.0|0|06-27-2020.csv
Russia|Moscow|2020-06-29|220071.0|0|3738.0|0|06-28-2020.csv
Russia|Moscow|2020-06-30|220853.0|0|3761.0|0|06-29-2020.csv
Russia|Moscow|2020-07-01|221598.0|0|3796.0|0|06-30-2020.csv
Russia|Moscow|2020-07-02|222209.0|0|3831.0|0|07-01-2020.csv
Russia|Moscow|2020-07-03|222871.0|0|3870.0|0|07-02-2020.csv
Russia|Moscow|2020-07-04|223530.0|0|3904.0|0|07-03-2020.csv
Russia|Moscow|2020-07-05|224210.0|0|3929.0|0|07-04-2020.csv
Russia|Moscow|2020-07-06|224860.0|0|3953.0|0|07-05-2020.csv
