Rank,Location,Province,Numbers,BenfordError,PlotName
1,Jordan,nan,348,0.06253,jordan.png
2,Ukraine,Sumy Oblast,269,0.06612,ukraine_sumy_oblast.png
3,Netherlands,Aruba,250,0.06783,netherlands_aruba.png
4,Malawi,nan,287,0.06797,malawi.png
5,Australia,New South Wales,332,0.07750,australia_new_south_wales.png
6,Peru,Pasco,218,0.08646,peru_pasco.png
7,Germany,Thuringen,279,0.08938,germany_thuringen.png
8,Spain,C Valenciana,212,0.09161,spain_c_valenciana.png
9,Brazil,Maranhao,280,0.09283,brazil_maranhao.png
10,Namibia,nan,277,0.09674,namibia.png
11,Peru,Cajamarca,217,0.09878,peru_cajamarca.png
12,Russia,Altai Republic,275,0.09953,russia_altai_republic.png
13,Japan,Miyagi,229,0.10002,japan_miyagi.png
14,United Kingdom,Wales,258,0.10335,united_kingdom_wales.png
15,United Kingdom,Gibraltar,251,0.10365,united_kingdom_gibraltar.png
16,India,Nagaland,244,0.10830,india_nagaland.png
17,Mali,nan,329,0.10910,mali.png
18,Germany,Sachsen,274,0.11058,germany_sachsen.png
19,Austria,nan,370,0.11112,austria.png
20,Singapore,nan,393,0.11156,singapore.png
21,Spain,Andalusia,211,0.11161,spain_andalusia.png
22,Niger,nan,246,0.11303,niger.png
23,Netherlands,Curacao,209,0.11530,netherlands_curacao.png
24,Japan,Hiroshima,215,0.11552,japan_hiroshima.png
25,Italy,Veneto,292,0.11575,italy_veneto.png
26,Lithuania,nan,358,0.11667,lithuania.png
27,Colombia,Cordoba,266,0.11669,colombia_cordoba.png
28,India,Arunachal Pradesh,229,0.11831,india_arunachal_pradesh.png
29,Sweden,Orebro,161,0.11939,sweden_orebro.png
30,Hungary,nan,359,0.12014,hungary.png
31,Czechia,nan,356,0.12078,czechia.png
32,Japan,Ibaraki,243,0.12174,japan_ibaraki.png
33,Colombia,Amazonas,217,0.12299,colombia_amazonas.png
34,Peru,Amazonas,216,0.12467,peru_amazonas.png
35,Chile,Tarapaca,283,0.12476,chile_tarapaca.png
36,Israel,nan,368,0.12518,israel.png
37,Peru,Apurimac,217,0.12585,peru_apurimac.png
38,Spain,Navarra,207,0.12659,spain_navarra.png
39,Italy,Sardegna,255,0.12755,italy_sardegna.png
40,Norway,nan,365,0.12830,norway.png
41,Colombia,San Andres y Providencia,199,0.12831,colombia_san_andres_y_providencia.png
42,Finland,nan,360,0.12927,finland.png
43,Bahamas,nan,221,0.12969,bahamas.png
44,Peru,Puno,216,0.13004,peru_puno.png
45,Zambia,nan,292,0.13028,zambia.png
46,Eswatini,nan,323,0.13091,eswatini.png
47,Colombia,Choco,261,0.13115,colombia_choco.png
48,France,Mayotte,159,0.13217,france_mayotte.png
49,Peru,Arequipa,217,0.13331,peru_arequipa.png
50,Germany,Berlin,292,0.13404,germany_berlin.png
51,Spain,Ceuta,152,0.13478,spain_ceuta.png
52,Uganda,nan,316,0.13674,uganda.png
53,Japan,Shizuoka,224,0.13901,japan_shizuoka.png
54,Japan,Gifu,223,0.13934,japan_gifu.png
55,Ukraine,Chernihiv Oblast,272,0.13969,ukraine_chernihiv_oblast.png
56,Georgia,nan,359,0.14005,georgia.png
57,Colombia,Atlantico,267,0.14032,colombia_atlantico.png
58,Armenia,nan,357,0.14117,armenia.png
59,Ukraine,Zhytomyr Oblast,273,0.14158,ukraine_zhytomyr_oblast.png
60,India,Jharkhand,260,0.14198,india_jharkhand.png
61,Sudan,nan,257,0.14218,sudan.png
62,Colombia,Arauca,233,0.14248,colombia_arauca.png
63,Angola,nan,299,0.14270,angola.png
64,Nepal,nan,320,0.14357,nepal.png
65,India,Punjab,260,0.14429,india_punjab.png
66,Japan,Tochigi,225,0.14436,japan_tochigi.png
67,Mexico,Tlaxcala,284,0.14438,mexico_tlaxcala.png
68,New Zealand,nan,261,0.14527,new_zealand.png
69,Colombia,Casanare,251,0.14694,colombia_casanare.png
70,Peru,Tacna,216,0.14760,peru_tacna.png
71,Sweden,Vastra Gotaland,163,0.14807,sweden_vastra_gotaland.png
72,Japan,Fukuoka,269,0.14886,japan_fukuoka.png
73,Iceland,nan,290,0.14894,iceland.png
74,Ukraine,Kiev,275,0.14898,ukraine_kiev.png
75,Spain,Extremadura,207,0.14986,spain_extremadura.png
76,Brazil,Sergipe,280,0.15001,brazil_sergipe.png
77,Kyrgyzstan,nan,317,0.15013,kyrgyzstan.png
78,Colombia,Cesar,267,0.15062,colombia_cesar.png
79,Spain,Catalonia,210,0.15160,spain_catalonia.png
80,Australia,Victoria,271,0.15175,australia_victoria.png
81,Morocco,nan,360,0.15193,morocco.png
82,Comoros,nan,137,0.15210,comoros.png
83,Spain,Cantabria,193,0.15231,spain_cantabria.png
84,Rwanda,nan,344,0.15404,rwanda.png
85,Peru,Ica,217,0.15415,peru_ica.png
86,Haiti,nan,255,0.15440,haiti.png
87,France,Reunion,213,0.15513,france_reunion.png
88,Japan,Yamaguchi,163,0.15534,japan_yamaguchi.png
89,Cote dIvoire,nan,336,0.15596,cote_divoire.png
90,China,Hong Kong,315,0.15613,china_hong_kong.png
91,Peru,Madre de Dios,215,0.15617,peru_madre_de_dios.png
92,Moldova,nan,355,0.15645,moldova.png
93,Saint Lucia,nan,118,0.15654,saint_lucia.png
94,Belize,nan,209,0.15716,belize.png
95,China,Shanghai,324,0.15719,china_shanghai.png
96,Peru,Junin,218,0.15746,peru_junin.png
97,Trinidad and Tobago,nan,252,0.15773,trinidad_and_tobago.png
98,Japan,Shiga,223,0.15786,japan_shiga.png
99,Chile,Los Lagos,284,0.15867,chile_los_lagos.png
100,Spain,Asturias,182,0.15889,spain_asturias.png
101,Sweden,Vastmanland,163,0.15976,sweden_vastmanland.png
102,United Kingdom,Channel Islands,214,0.15984,united_kingdom_channel_islands.png
103,Zimbabwe,nan,297,0.16013,zimbabwe.png
104,United Kingdom,England,262,0.16017,united_kingdom_england.png
105,Spain,Galicia,206,0.16032,spain_galicia.png
106,Maldives,nan,333,0.16087,maldives.png
107,Djibouti,nan,272,0.16088,djibouti.png
108,Spain,Baleares,212,0.16097,spain_baleares.png
109,Ukraine,Luhansk Oblast,246,0.16138,ukraine_luhansk_oblast.png
110,Peru,Ayacucho,218,0.16153,peru_ayacucho.png
111,Sweden,Gavleborg,160,0.16198,sweden_gavleborg.png
112,Colombia,Guaviare,203,0.16236,colombia_guaviare.png
113,Burundi,nan,174,0.16261,burundi.png
114,Canada,Alberta,300,0.16272,canada_alberta.png
115,Germany,Bayern,290,0.16345,germany_bayern.png
116,Chad,nan,277,0.16379,chad.png
117,Spain,Castilla La Mancha,211,0.16468,spain_castilla_la_mancha.png
118,San Marino,nan,178,0.16479,san_marino.png
119,India,Meghalaya,232,0.16518,india_meghalaya.png
120,Andorra,nan,230,0.16520,andorra.png
121,Sweden,Dalarna,164,0.16630,sweden_dalarna.png
122,India,Odisha,260,0.16657,india_odisha.png
123,Spain,Murcia,199,0.16676,spain_murcia.png
124,India,Tripura,237,0.16680,india_tripura.png
125,India,Uttar Pradesh,260,0.16737,india_uttar_pradesh.png
126,Spain,La Rioja,193,0.16749,spain_la_rioja.png
127,Somalia,nan,154,0.16767,somalia.png
128,Colombia,Tolima,266,0.16788,colombia_tolima.png
129,Botswana,nan,85,0.16801,botswana.png
130,Pakistan,Azad Jammu and Kashmir,253,0.16825,pakistan_azad_jammu_and_kashmir.png
131,Ukraine,Zaporizhia Oblast,270,0.16831,ukraine_zaporizhia_oblast.png
132,Germany,Sachsen Anhalt,265,0.16933,germany_sachsen_anhalt.png
133,Ukraine,Kirovohrad Oblast,262,0.17007,ukraine_kirovohrad_oblast.png
134,Peru,Huancavelica,218,0.17063,peru_huancavelica.png
135,Sierra Leone,nan,288,0.17075,sierra_leone.png
136,Peru,Moquegua,216,0.17146,peru_moquegua.png
137,Liberia,nan,213,0.17153,liberia.png
138,Monaco,nan,226,0.17232,monaco.png
139,Sweden,Norrbotten,156,0.17245,sweden_norrbotten.png
140,Colombia,Putumayo,249,0.17282,colombia_putumayo.png
141,Germany,Brandenburg,278,0.17286,germany_brandenburg.png
142,Ghana,nan,257,0.17295,ghana.png
143,Sweden,Stockholm,163,0.17316,sweden_stockholm.png
144,Brazil,Rio Grande do Norte,274,0.17645,brazil_rio_grande_do_norte.png
145,Ukraine,Odessa Oblast,274,0.17657,ukraine_odessa_oblast.png
146,India,Mizoram,221,0.17705,india_mizoram.png
147,Germany,Unknown,139,0.17814,germany_unknown.png
148,Peru,Huanuco,218,0.17814,peru_huanuco.png
149,Greece,nan,362,0.17835,greece.png
150,Ireland,nan,362,0.17890,ireland.png
151,Mexico,Chihuahua,285,0.17928,mexico_chihuahua.png
152,Colombia,Bolivar,267,0.17965,colombia_bolivar.png
153,Japan,Fukushima,180,0.17989,japan_fukushima.png
154,Sweden,Uppsala,165,0.17992,sweden_uppsala.png
155,Jamaica,nan,327,0.18058,jamaica.png
156,Japan,Kumamoto,210,0.18078,japan_kumamoto.png
157,Dominican Republic,nan,351,0.18084,dominican_republic.png
158,Latvia,nan,342,0.18119,latvia.png
159,Italy,Piemonte,292,0.18130,italy_piemonte.png
